exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
780.93,0.1142859773533373,0.3,12708.953121156275,28.0,0.0,28.75,32.25,28.430000000000007,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1580.0,667.0,0.0,929.0,356.0,0.0,586.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0
841.0,0.1029484430391022,0.3,12708.953121156275,28.0,0.0,28.5,32.25,28.470000000000027,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1579.0,666.0,0.0,929.0,353.0,0.0,585.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0
901.06,0.1071746972272184,0.3,12708.953121156275,28.0,0.0,28.1875,32.3125,28.230000000000015,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1585.0,670.0,0.0,940.0,356.0,0.0,589.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
961.13,0.115590947157041,0.3,12708.953121156275,28.0,0.0,28.0,32.375,28.19000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1587.0,669.0,0.0,941.0,359.0,0.0,588.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
1021.19,0.1177801059951886,0.3,12708.953121156275,28.0,0.0,27.8125,32.4375,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1586.0,667.0,0.0,942.0,359.0,0.0,587.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0
1081.23,0.1115465726243362,0.3,12708.953121156275,28.0,0.0,27.625,32.4375,28.13000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1590.0,672.0,0.0,943.0,360.0,0.0,590.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0
1141.3,0.1127118405141139,0.3,12708.953121156275,28.0,0.0,27.4375,32.4375,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1584.0,668.0,0.0,936.0,358.0,0.0,592.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0
1201.36,0.126706554598453,0.3,12708.953121156275,28.0,0.0033999999999969,27.25,32.4375,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1588.0,671.0,0.0,951.0,363.0,0.0,595.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0
1261.4,0.1186112622692169,0.3,12708.953121156275,28.0,0.0239999999999923,27.0,32.375,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1588.0,671.0,0.0,940.0,361.0,0.0,594.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
1321.45,0.1077836856133875,0.3,12708.953121156275,28.0,0.0696999999999835,26.8125,32.375,27.750000000000057,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1590.0,672.0,0.0,948.0,362.0,0.0,594.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0
1381.52,0.1265559159727515,0.3,12708.953121156275,28.0,0.0650999999999919,26.6875,32.3125,27.730000000000015,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1603.0,677.0,0.0,950.0,363.0,0.0,596.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
1441.6,0.1187589198326996,0.3,12708.953121156275,28.0,0.1022999999999925,26.5,32.25,27.730000000000015,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1600.0,675.0,0.0,959.0,367.0,0.0,595.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0
1501.64,0.1294265385832088,0.3,12708.953121156275,28.0,0.1297999999999876,26.4375,32.25,27.610000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1599.0,678.0,0.0,955.0,368.0,0.0,596.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
1561.69,0.1287892635506105,0.3,12708.953121156275,28.0,0.1308999999999809,26.3125,32.125,27.610000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1597.0,678.0,0.0,955.0,366.0,0.0,600.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
1621.75,0.1264015042875183,0.3,12708.953121156275,28.0,0.1293999999999792,26.3125,32.125,27.610000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1601.0,677.0,0.0,964.0,368.0,0.0,599.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0
1681.82,0.1298437873281258,0.3,12708.953121156275,28.0,0.1825999999999845,26.3125,32.125,27.55000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1600.0,675.0,0.0,967.0,369.0,0.0,603.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
1741.9,0.1332358024650527,0.3,12708.953121156275,28.0,0.1763999999999879,26.375,32.0625,27.470000000000027,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1605.0,678.0,0.0,958.0,372.0,0.0,603.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
1801.95,0.1318624635166865,0.3,12708.953121156275,28.0,0.1527999999999761,26.4375,32.0,27.610000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1607.0,680.0,0.0,963.0,369.0,0.0,600.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
1862.02,0.1425602520805806,0.3,12708.953121156275,28.0,0.2003999999999865,26.5,32.0,27.53000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1605.0,679.0,0.0,976.0,373.0,0.0,604.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0
1922.07,0.1394109806532446,0.3,12708.953121156275,28.0,0.2058999999999758,26.5625,32.0,27.730000000000015,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1608.0,680.0,0.0,978.0,372.0,0.0,605.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0
1982.14,0.1417899554063948,0.3,12708.953121156275,28.0,0.1895999999999833,26.6875,32.0,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1607.0,678.0,0.0,973.0,373.0,0.0,608.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2042.2,0.1504007659995626,0.3,12708.953121156275,28.0,0.1911999999999727,26.75,31.875,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1607.0,680.0,0.0,970.0,372.0,0.0,612.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0
2102.24,0.1518921219820067,0.3,12708.953121156275,28.0,0.199599999999971,26.875,31.8125,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1610.0,683.0,0.0,978.0,375.0,0.0,606.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0
2162.32,0.1587892249035936,0.3,12708.953121156275,28.0,0.1510999999999725,27.0,31.8125,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1617.0,682.0,0.0,991.0,376.0,0.0,609.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0
2222.39,0.1691561631848624,0.3,12708.953121156275,28.0,0.1525999999999711,27.0,31.875,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1617.0,684.0,0.0,987.0,377.0,0.0,613.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
2282.46,0.1737879635741046,0.3,12708.953121156275,28.0,0.1764999999999812,27.0625,31.875,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1613.0,681.0,0.0,987.0,378.0,0.0,614.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0
2342.5,0.1736579977218905,0.3,12708.953121156275,28.0,0.1299999999999792,27.125,31.8125,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1615.0,684.0,0.0,996.0,380.0,0.0,618.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0
2402.58,0.1748535288942657,0.3,12708.953121156275,28.0,0.1661999999999747,27.125,31.8125,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1617.0,682.0,0.0,994.0,380.0,0.0,616.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0
2462.65,0.1833974935463583,0.3,12708.953121156275,28.0,0.0960999999999764,27.125,31.8125,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1613.0,684.0,0.0,987.0,380.0,0.0,617.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
2522.73,0.1834768226015868,0.3,12708.953121156275,28.0,0.126699999999977,27.125,31.75,28.230000000000015,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1617.0,683.0,0.0,997.0,383.0,0.0,622.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0
2582.78,0.1904631792867313,0.3,12708.953121156275,28.0,0.1560999999999779,27.0625,31.75,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1615.0,686.0,0.0,999.0,383.0,0.0,624.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
2642.81,0.1860462160321297,0.3,12708.953121156275,28.0,0.0756999999999739,27.125,31.75,28.230000000000015,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1627.0,688.0,0.0,1002.0,386.0,0.0,626.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0
2702.89,0.2017889498423672,0.3,12708.953121156275,28.0,0.1041999999999747,27.0625,31.75,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1616.0,685.0,0.0,1010.0,385.0,0.0,628.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0
2762.95,0.1835357852781918,0.3,12708.953121156275,28.0,0.1556999999999714,27.0,31.8125,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1621.0,683.0,0.0,1005.0,386.0,0.0,629.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0
2823.02,0.1876379887479062,0.3,12708.953121156275,28.0,0.1371999999999749,27.0,31.8125,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1622.0,687.0,0.0,1022.0,388.0,0.0,627.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0
2883.06,0.1859396221604316,0.3,12708.953121156275,28.0,0.121599999999974,26.9375,31.75,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1627.0,691.0,0.0,1019.0,391.0,0.0,631.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0
2943.1,0.2004338092635114,0.3,12708.953121156275,28.0,0.066799999999961,27.0,31.8125,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1627.0,689.0,0.0,1018.0,389.0,0.0,635.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0
3003.15,0.2064707915380267,0.3,12708.953121156275,28.0,0.06969999999997,26.9375,31.75,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1630.0,694.0,0.0,1023.0,390.0,0.0,634.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0
3063.21,0.2039345005939862,0.3,12708.953121156275,28.0,0.09169999999996,26.875,31.75,28.250000000000057,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1628.0,690.0,0.0,1027.0,395.0,0.0,633.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0
3123.28,0.2076602569247533,0.3,12708.953121156275,28.0,0.0804999999999685,26.8125,31.8125,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1635.0,692.0,0.0,1029.0,392.0,0.0,640.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0
3183.34,0.2102024430885028,0.3,12708.953121156275,28.0,0.1566999999999711,26.8125,31.875,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1634.0,693.0,0.0,1033.0,395.0,0.0,637.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0
3243.38,0.2014885079762632,0.3,12708.953121156275,28.0,0.1396999999999598,26.75,31.8125,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1634.0,693.0,0.0,1028.0,395.0,0.0,642.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0
3303.43,0.2182521175296133,0.3,12708.953121156275,28.0,0.0963999999999674,26.75,31.8125,27.750000000000057,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1629.0,688.0,0.0,1032.0,396.0,0.0,640.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0
3363.51,0.2104958894250867,0.3,12708.953121156275,28.0,0.1646999999999647,26.8125,31.8125,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1639.0,697.0,0.0,1046.0,401.0,0.0,643.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0
3423.56,0.2170685139401479,0.3,12708.953121156275,28.0,0.1099999999999567,26.75,31.875,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1646.0,696.0,0.0,1054.0,401.0,0.0,646.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0
3483.63,0.2187599496295404,0.3,12708.953121156275,28.0,0.1502999999999619,26.75,31.875,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1644.0,695.0,0.0,1062.0,405.0,0.0,645.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0
3543.68,0.2218693514165411,0.3,12708.953121156275,28.0,0.1261999999999554,26.6875,31.875,27.81,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1645.0,699.0,0.0,1046.0,399.0,0.0,658.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0
3603.73,0.2229043300332735,0.3,12708.953121156275,28.0,0.1818999999999667,26.6875,31.9375,28.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1644.0,696.0,0.0,1060.0,405.0,0.0,650.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0
3663.78,0.2285833468447048,0.3,12708.953121156275,28.0,0.1224999999999638,26.75,31.9375,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1651.0,702.0,0.0,1053.0,404.0,0.0,653.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0
3723.82,0.2308521391580405,0.3,12708.953121156275,28.0,0.1383999999999636,26.75,31.9375,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1656.0,702.0,0.0,1075.0,407.0,0.0,658.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0
3783.86,0.2409864889848381,0.3,12708.953121156275,28.0,0.1186999999999522,26.6875,31.875,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1662.0,705.0,0.0,1073.0,407.0,0.0,658.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0
3843.91,0.2414080738877186,0.3,12708.953121156275,28.0,0.1554999999999622,26.6875,31.8125,27.850000000000023,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1667.0,705.0,0.0,1071.0,406.0,0.0,659.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
3903.97,0.2457632649194215,0.3,12708.953121156275,28.0,0.1419999999999612,26.6875,31.75,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1657.0,700.0,0.0,1081.0,411.0,0.0,659.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0
3964.02,0.2481528000743355,0.3,12708.953121156275,28.0,0.1410999999999603,26.6875,31.6875,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1661.0,706.0,0.0,1080.0,409.0,0.0,662.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0
4024.06,0.243392612751623,0.3,12708.953121156275,28.0,0.1790999999999559,26.75,31.75,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1665.0,705.0,0.0,1085.0,412.0,0.0,665.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0
4084.1,0.2570633751714512,0.3,12708.953121156275,28.0,0.1952999999999553,26.75,31.75,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1663.0,705.0,0.0,1094.0,417.0,0.0,673.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0
4144.14,0.2535516602201776,0.3,12708.953121156275,28.0,0.1838999999999541,26.6875,31.6875,27.81,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1672.0,711.0,0.0,1102.0,417.0,0.0,668.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0
4204.21,0.2590269332488775,0.3,12708.953121156275,28.0,0.1200999999999561,26.75,31.6875,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1674.0,709.0,0.0,1094.0,417.0,0.0,672.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0
4264.28,0.2662581047227428,0.3,12708.953121156275,28.0,0.1800999999999575,26.75,31.625,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1676.0,710.0,0.0,1102.0,418.0,0.0,674.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
4324.35,0.2734236183443899,0.3,12708.953121156275,28.0,0.1615999999999459,26.75,31.625,27.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1675.0,712.0,0.0,1115.0,421.0,0.0,675.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
4384.42,0.2662908290981068,0.3,12708.953121156275,28.0,0.1977999999999564,26.75,31.5625,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1675.0,710.0,0.0,1112.0,419.0,0.0,676.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
4444.5,0.2758188028140352,0.3,12708.953121156275,28.0,0.1191999999999526,26.75,31.5,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1678.0,713.0,0.0,1114.0,421.0,0.0,683.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
4504.56,0.2620198707414756,0.3,12708.953121156275,28.0,0.1485999999999535,26.8125,31.5625,27.930000000000007,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1674.0,709.0,0.0,1127.0,424.0,0.0,689.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0
4564.62,0.2905922143680109,0.3,12708.953121156275,28.0,0.1255999999999417,26.75,31.5625,28.13000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1688.0,714.0,0.0,1133.0,426.0,0.0,685.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
4624.69,0.2867240477460644,0.3,12708.953121156275,28.0,0.157399999999942,26.75,31.5625,27.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1688.0,718.0,0.0,1132.0,428.0,0.0,689.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
4684.76,0.2821184635364493,0.3,12708.953121156275,28.0,0.1694999999999461,26.75,31.5625,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1685.0,716.0,0.0,1127.0,425.0,0.0,688.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0
4744.81,0.2902659187711052,0.3,12708.953121156275,28.0,0.1503999999999492,26.6875,31.5,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1692.0,719.0,0.0,1137.0,430.0,0.0,687.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
4804.86,0.2960269622022625,0.3,12708.953121156275,28.0,0.1886999999999454,26.6875,31.4375,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1696.0,721.0,0.0,1144.0,431.0,0.0,698.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
4864.9,0.2879035881945268,0.3,12708.953121156275,28.0,0.1916999999999444,26.75,31.5,28.110000000000014,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1687.0,719.0,0.0,1143.0,432.0,0.0,693.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
4924.94,0.2873923903397959,0.3,12708.953121156275,28.0,0.1672999999999373,26.75,31.375,28.13000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1691.0,721.0,0.0,1140.0,433.0,0.0,699.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0
4985.01,0.2947862044203654,0.3,12708.953121156275,28.0,0.1645999999999363,26.75,31.4375,28.07000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1702.0,723.0,0.0,1149.0,434.0,0.0,698.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
5045.07,0.2949817299127674,0.3,12708.953121156275,28.0,0.1836999999999456,26.75,31.5,27.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1705.0,722.0,0.0,1161.0,437.0,0.0,701.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0
5105.15,0.2977860513213664,0.3,12708.953121156275,28.0,0.1483999999999334,26.75,31.4375,27.99000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1706.0,725.0,0.0,1156.0,436.0,0.0,705.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0
5165.19,0.3048789061065704,0.3,12708.953121156275,28.0,0.1701999999999428,26.75,31.5,27.910000000000025,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1704.0,724.0,0.0,1172.0,442.0,0.0,717.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0
5225.26,0.3181393722333582,0.3,12708.953121156275,28.0,0.1651999999999323,26.75,31.4375,28.010000000000048,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,1709.0,725.0,0.0,1187.0,443.0,0.0,705.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0
